       HWN_Offset SWN_Offset              Armenian                                      English  Positive  Negative  Objective
0             NaN   00011160                  ագահ                               greedy,glutton     0.000     0.000      1.000
534           NaN   01900188             անկշռադատ                                         rash     0.500     0.250      0.250
535           NaN   02818832               անկողին                                          bed     0.000     0.000      1.000
536           NaN   02819474               անկողին                                          bed     0.000     0.000      1.000
537           NaN   02819697               անկողին                                          bed     0.000     0.000      1.000
538           NaN   02819881               անկողին                                          bed     0.000     0.000      1.000
539           NaN   09217867               անկողին                                          bed     0.000     0.000      1.000
540           NaN   01723308           անկողմնակալ                          impartial,objective     0.500     0.125      0.375
541           NaN   00013442           անկողմնակալ                          impartial,objective     0.000     0.000      1.000
542           NaN   07537485                   անկ                                   depression     0.125     0.625      0.250
543           NaN   13836715                   անկ                                   depression     0.000     0.000      1.000
544           NaN   14404160                   անկ                                   depression     0.000     0.375      0.625
545           NaN   00011160               անկուշտ                                       greedy     0.000     0.000      1.000
546           NaN   02393401                 անհամ                            insipid,tasteless     0.250     0.250      0.500
547           NaN   02399399                 անհամ                            insipid,tasteless     0.125     0.250      0.625
548           NaN   07180787     անհամաձայնություն                                 disagreement     0.000     0.000      1.000
549           NaN   00508192          անհամատեղելի                                 incompatible     0.250     0.250      0.500
550           NaN   00509206          անհամատեղելի                                 incompatible     0.000     0.625      0.375
551           NaN   00509896          անհամատեղելի                                 incompatible     0.000     0.500      0.500
552           NaN   00162863            անհամարձակ                                          shy     0.375     0.125      0.500
553           NaN   02337558            անհամարձակ                                          shy     0.000     0.000      1.000
554           NaN   01376894                անհայտ                                      unknown     0.000     0.250      0.750
555           NaN   02370625                անհայտ                                      unknown     0.000     0.625      0.375
556           NaN   01563578             անհանգիստ                                     restless     0.000     0.000      1.000
557           NaN   00259755          անհանգստանալ                                      disturb     0.000     0.625      0.375
558           NaN   07513711       անհանգստություն                                 alarm,unrest     0.125     0.750      0.125
559           NaN   02333453               անհաջող                            lame,unsuccessful     0.000     0.500      0.500
560           NaN   00066397        անհաջողություն                                      failure     0.500     0.375      0.125
561           NaN   00066636        անհաջողություն                                      failure     0.000     0.000      1.000
562           NaN   07317764        անհաջողություն                                      failure     0.000     0.250      0.750
563           NaN   14059663        անհաջողություն                                      failure     0.000     0.000      1.000
564           NaN   14477877        անհաջողություն                                      failure     0.125     0.375      0.500
565           NaN   00134401            անհասանելի                               unapproachable     0.000     0.375      0.625
566           NaN   01337121           անհասկանալի                               unintelligible     0.375     0.000      0.625
567           NaN   01929456              անհաստատ                          unstable,changeable     0.625     0.000      0.375
568           NaN   01992712              անհաստատ                          unstable,changeable     0.250     0.625      0.125
569           NaN   02291843              անհաստատ                          unstable,changeable     0.250     0.375      0.375
570           NaN   00892379             անհավասար                         unequal,uneven,rough     0.125     0.375      0.500
571           NaN   00911327             անհավասար                         unequal,uneven,rough     0.125     0.375      0.500
572           NaN   02305651             անհավասար                         unequal,uneven,rough     0.125     0.375      0.500
573           NaN   01951197             անհավասար                         unequal,uneven,rough     0.250     0.250      0.500
574           NaN   02245403             անհավասար                         unequal,uneven,rough     0.250     0.000      0.750
575           NaN   04752221      անհավասարություն                                   inequality     0.000     0.625      0.375
576           NaN   01616157             անհատական                                     personal     0.000     0.000      1.000
577           NaN   01767329             անհատական                                     personal     0.000     0.000      1.000
578           NaN   01779428             անհատական                                     personal     0.000     0.000      1.000
579           NaN   02858707             անհատական                                     personal     0.000     0.000      1.000
580           NaN   02858816             անհատական                                     personal     0.500     0.000      0.500
581           NaN   05217688      անհատականություն                                       person     0.000     0.000      1.000
582           NaN   06326797      անհատականություն                                       person     0.000     0.000      1.000
583           NaN   00132060             անհատապես                                   personally     0.000     0.000      1.000
584           NaN   00132322             անհատապես                                   personally     0.000     0.000      1.000
585           NaN   00366266             անհատապես                                   personally     0.000     0.000      1.000
586           NaN   00366393             անհատապես                                   personally     0.000     0.000      1.000
587           NaN   01963792           անհատուցելի                                  irreparable     0.000     0.500      0.500
588           NaN   01951197                անհարթ                                        rough     0.250     0.250      0.500
589           NaN   02245403                անհարթ                                        rough     0.250     0.000      0.750
590           NaN   00605128              անհարմար              discomfort,inconvenient,awkward     0.125     0.750      0.125
591           NaN   01662384              անհարմար              discomfort,inconvenient,awkward     0.000     0.750      0.250
592           NaN   00605406              անհարմար              discomfort,inconvenient,awkward     0.000     0.750      0.250
593           NaN   01140514              անհարմար              discomfort,inconvenient,awkward     0.500     0.125      0.375
594           NaN   00980527           անհետաքրքիր                                         slow     0.000     0.000      1.000
595           NaN   00982602           անհետաքրքիր                                         slow     0.000     0.000      1.000
596           NaN   00983722           անհետաքրքիր                                         slow     0.000     0.000      1.000
597           NaN   00577920         անհետեւողական                                 inconsistent     0.250     0.250      0.500
598           NaN   01987207         անհետեւողական                                 inconsistent     0.125     0.750      0.125
599           NaN   02026442                անհիմն                                    insolvent     0.000     0.750      0.250
600           NaN   01613463             անհնազանդ                                  disobedient     0.000     0.625      0.375
601           NaN   01823092              անհնարին                                   impossible     0.000     0.750      0.250
602           NaN   00754873                 անհոգ                  negligent,careless,carefree     0.250     0.500      0.250
603           NaN   00150055                 անհոգ                  negligent,careless,carefree     0.250     0.375      0.375
604           NaN   00311663                 անհոգ                  negligent,careless,carefree     0.000     0.500      0.500
605           NaN   00849108             անհրաժեշտ            indispensable,not taken,necessary     0.000     0.125      0.875
606           NaN   00903668             անհրաժեշտ            indispensable,not taken,necessary     0.000     0.000      1.000
607           NaN   00343552             անհրաժեշտ            indispensable,not taken,necessary     0.125     0.000      0.875
608           NaN   01580050             անհրաժեշտ            indispensable,not taken,necessary     0.625     0.000      0.375
609           NaN   14450691     անհրաժեշտտություն                               necessity,need     0.000     0.000      1.000
610           NaN   01127440               անհույս                                     hopeless     0.125     0.750      0.125
611           NaN   01229020               անհույս                                     hopeless     0.000     0.750      0.250
612           NaN   01823475               անհույս                                     hopeless     0.000     0.000      1.000
613           NaN   02229812               անհույս                                     hopeless     0.000     0.375      0.625
614           NaN   01127440             անհուսալի                                     hopeless     0.125     0.750      0.125
615           NaN   01229020             անհուսալի                                     hopeless     0.000     0.750      0.250
616           NaN   01823475             անհուսալի                                     hopeless     0.000     0.000      1.000
617           NaN   02229812             անհուսալի                                     hopeless     0.000     0.375      0.625
618           NaN   06309931                   անձ                   subject,face,after,persona     0.000     0.000      1.000
619           NaN   06310125                   անձ                   subject,face,after,persona     0.000     0.000      1.000
620           NaN   03313602                   անձ                   subject,face,after,persona     0.000     0.000      1.000
621           NaN   03313873                   անձ                   subject,face,after,persona     0.000     0.000      1.000
622           NaN   04679419                   անձ                   subject,face,after,persona     0.000     0.000      1.000
623           NaN   05601198                   անձ                   subject,face,after,persona     0.000     0.000      1.000
624           NaN   09618957                   անձ                   subject,face,after,persona     0.000     0.000      1.000
625           NaN   00132060                անձամբ                                   personally     0.000     0.000      1.000
626           NaN   00132322                անձամբ                                   personally     0.000     0.000      1.000
627           NaN   00366266                անձամբ                                   personally     0.000     0.000      1.000
628           NaN   00366393                անձամբ                                   personally     0.000     0.000      1.000
629           NaN   01112471               անձավեր                                    unselfish     0.375     0.125      0.500
630           NaN   02099019               անձավեր                                    unselfish     0.375     0.125      0.500
631           NaN   02510604           անձեռնմխելի                                   inviolable     0.125     0.375      0.500
632           NaN   06500937              անձնագիր                                     passport     0.000     0.000      1.000
633           NaN   01112471              անձնազոհ                                    unselfish     0.375     0.125      0.500
634           NaN   02099019              անձնազոհ                                    unselfish     0.375     0.125      0.500
635           NaN   04296261             անձնակազմ                         personnel,staff,crew     0.000     0.000      1.000
636           NaN   07267160             անձնակազմ                         personnel,staff,crew     0.000     0.000      1.000
637           NaN   08439955             անձնակազմ                         personnel,staff,crew     0.000     0.000      1.000
638           NaN   15050320             անձնակազմ                         personnel,staff,crew     0.000     0.000      1.000
639           NaN   08273167             անձնակազմ                         personnel,staff,crew     0.000     0.000      1.000
640           NaN   08273736             անձնակազմ                         personnel,staff,crew     0.000     0.000      1.000
641           NaN   01616157              անձնական                      own,personal,subjective     0.000     0.000      1.000
642           NaN   01767329              անձնական                      own,personal,subjective     0.000     0.000      1.000
643           NaN   01779428              անձնական                      own,personal,subjective     0.000     0.000      1.000
644           NaN   02858707              անձնական                      own,personal,subjective     0.000     0.000      1.000
645           NaN   02858816              անձնական                      own,personal,subjective     0.500     0.000      0.500
646           NaN   01615925              անձնական                      own,personal,subjective     0.000     0.000      1.000
647           NaN   05217688       անձնավորություն                                person,figure     0.000     0.000      1.000
648           NaN   06326797       անձնավորություն                                person,figure     0.000     0.000      1.000
649           NaN   03335600       անձնավորություն                                person,figure     0.000     0.000      1.000
650           NaN   04675646       անձնավորություն                                person,figure     0.000     0.000      1.000
651           NaN   13331634       անձնավորություն                                person,figure     0.000     0.000      1.000
652           NaN   13862780       անձնավորություն                                person,figure     0.000     0.000      1.000
653           NaN   00213343        անձնատվություն                                    surrender     0.000     0.000      1.000
654           NaN   00528875            անձրեւանոց                                     umbrella     0.000     0.000      1.000
655           NaN   00605406               անճարակ                                      awkward     0.000     0.750      0.250
656           NaN   01140514               անճարակ                                      awkward     0.500     0.125      0.375
657           NaN   00023383                անճիշտ                     inaccurate,inexact,wrong     0.125     0.625      0.250
658           NaN   00915787                անճիշտ                     inaccurate,inexact,wrong     0.000     0.125      0.875
659           NaN   00633778                անճիշտ                     inaccurate,inexact,wrong     0.125     0.500      0.375
660           NaN   01694081                անճիշտ                     inaccurate,inexact,wrong     0.000     0.000      1.000
661           NaN   02035337                անճիշտ                     inaccurate,inexact,wrong     0.125     0.750      0.125
662           NaN   08624196          անճշտություն                                          lie     0.125     0.000      0.875
663           NaN   01557903                 անմահ                                     immortal     0.000     0.500      0.500
664           NaN   05056102          անմահություն                                  immortality     0.250     0.375      0.375
665           NaN   15144094          անմահություն                                  immortality     0.000     0.000      1.000
666           NaN   00134401             անմատչելի                               unapproachable     0.000     0.375      0.625
667           NaN   01312739           անմարդարնակ                         deserted,uninhabited     0.000     0.500      0.500
668           NaN   00765173           անմարդկային                                       brutal     0.000     0.625      0.375
669           NaN   00150055            անմաքրասեր                                     careless     0.250     0.375      0.375
670           NaN   00311663            անմաքրասեր                                     careless     0.000     0.500      0.500
671           NaN   00572392                 անմեղ                                     innocent     0.125     0.250      0.625
672           NaN   00572392            անմեղապարտ                              innocent,purity     0.125     0.250      0.625
673           NaN   00760916             անմիջական                             direct,immediate     0.000     0.250      0.750
674           NaN   00763633             անմիջական                             direct,immediate     0.000     0.000      1.000
675           NaN   00763901             անմիջական                             direct,immediate     0.000     0.000      1.000
676           NaN   00769239             անմիջական                             direct,immediate     0.000     0.000      1.000
677           NaN   00769926             անմիջական                             direct,immediate     0.000     0.000      1.000
678           NaN   01852666             անմիջական                             direct,immediate     0.000     0.000      1.000
679           NaN   00770316             անմիջական                             direct,immediate     0.000     0.000      1.000
680           NaN   01579853             անմիջական                             direct,immediate     0.000     0.000      1.000
681           NaN   01731882             անմիջական                             direct,immediate     0.000     0.000      1.000
682           NaN   00504281             անմիջապես                         directly,immediately     0.000     0.250      0.750
683           NaN   00504043             անմիջապես                         directly,immediately     0.125     0.000      0.875
684           NaN   00504153             անմիջապես                         directly,immediately     0.000     0.000      1.000
685           NaN   01722260              աններելի                                  inexcusable     0.000     0.625      0.375
686           NaN   00738368               աննկուն                   indestructible,unshakeable     0.375     0.125      0.500
687           NaN   01498298                աննշան           imperceptible,insignificant,remote     0.250     0.000      0.750
688           NaN   01871949               աննպաստ                    unprofitable,disadvantage     0.000     0.625      0.375
689           NaN   01924316              աննպատակ                               aimless,random     0.125     0.000      0.875
690           NaN   00932367       աննպատակահարմար                                  inexpedient     0.333     0.667      0.000
691           NaN   01723543           անշահախնդիր                                disinterested     0.375     0.000      0.625
692           NaN   01871949             անշահավետ                    disadvantage,unprofitable     0.000     0.625      0.375
693           NaN   00980527                անշտապ                                         slow     0.000     0.000      1.000
694           NaN   00982602                անշտապ                                         slow     0.000     0.000      1.000
695           NaN   00983722                անշտապ                                         slow     0.000     0.000      1.000
696           NaN   04531098                  անոթ                                       vessel     0.000     0.000      1.000
697           NaN   02873811              անոթային                                     vascular     0.000     0.000      1.000
698           NaN   00781168                անորոշ                     indistinct,unknown,vague     0.250     0.750      0.000
699           NaN   01376894                անորոշ                     indistinct,unknown,vague     0.000     0.250      0.750
700           NaN   02370625                անորոշ                     indistinct,unknown,vague     0.000     0.625      0.375
701           NaN   00750926             անպաճույճ                                       smooth     0.125     0.375      0.500
702           NaN   02236842             անպաճույճ                                       smooth     0.250     0.000      0.750
703           NaN   02243411             անպաճույճ                                       smooth     0.125     0.375      0.500
704           NaN   02244619             անպաճույճ                                       smooth     0.125     0.125      0.750
705           NaN   01044240              անպաշտոն                                     informal     0.000     0.250      0.750
706           NaN   01045711              անպաշտոն                                     informal     0.000     0.000      1.000
707           NaN   01997910        անպատասխանատու                                irresponsible     0.500     0.000      0.500
708           NaN   01902171               անպատիժ                                   unpunished     0.000     0.250      0.750
709           NaN   00249721              անպատկառ                         cheeky,flippant,bold     0.500     0.125      0.375
710           NaN   00579881              անպատկառ                         cheeky,flippant,bold     0.500     0.000      0.500
711           NaN   00683185             անպարկեշտ                                     indecent     0.750     0.000      0.250
712           NaN   01539022             անպարկեշտ                                     indecent     0.375     0.000      0.625
713           NaN   01017738                անպետք                    unfit,unsuitable,unusable     0.250     0.750      0.000
714           NaN   01021301                անպետք                    unfit,unsuitable,unusable     0.250     0.000      0.750
715           NaN   01021607                անպետք                    unfit,unsuitable,unusable     0.000     0.750      0.250
716           NaN   01129823                անպետք                    unfit,unsuitable,unusable     0.222     0.778      0.000
717           NaN   00220956               անպիտան                                         ugly     0.000     0.375      0.625
718           NaN   01356038               անջատել                          disconnect,separate     0.000     0.000      1.000
719           NaN   01458973               անջատել                          disconnect,separate     0.000     0.000      1.000
720           NaN   02282171                անսիրտ                                    heartless     0.500     0.125      0.375
721           NaN   01228282        անսկզբունքային                                 unprincipled     0.125     0.250      0.625
722           NaN   01551461        անսկզբունքային                                 unprincipled     0.375     0.375      0.250
723           NaN   00930290             անսպասելի                 surprise,suddenly,unexpected     0.125     0.375      0.500
724           NaN   00488857               անսովոր                                      unusual     0.125     0.000      0.875
725           NaN   00490035               անսովոր                                      unusual     0.125     0.625      0.250
726           NaN   00023383              անստույգ                           inaccurate,inexact     0.125     0.625      0.250
727           NaN   00915787              անստույգ                           inaccurate,inexact     0.000     0.125      0.875
728           NaN   04491769               անվադող                                   tire,trunk     0.000     0.000      1.000
729           NaN   00684163               անվայել                             obscene,indecent     0.000     0.625      0.375
730           NaN   00683185               անվայել                             obscene,indecent     0.750     0.000      0.250
731           NaN   01539022               անվայել                             obscene,indecent     0.375     0.000      0.625
732           NaN   10344922               անվանակ                                     namesake     0.000     0.000      1.000
733           NaN   00947439               անվանել                                         name     0.000     0.000      1.000
734           NaN   02343762                անվանի                                  outstanding     0.750     0.000      0.250
735           NaN   02026442           անվճարունակ                                    insolvent     0.000     0.750      0.250
736           NaN   00103567             անվճռական                         uncertain,irresolute     0.375     0.375      0.250
737           NaN   00336168             անվճռական                         uncertain,irresolute     0.125     0.375      0.500
738           NaN   00341405             անվճռական                         uncertain,irresolute     0.000     0.500      0.500
739           NaN   00725522             անվճռական                         uncertain,irresolute     0.250     0.500      0.250
740           NaN   01992149             անվճռական                         uncertain,irresolute     0.000     0.000      1.000
741           NaN   00066933                անվնաս                                safe,harmless     0.000     0.000      1.000
742           NaN   02057829                անվնաս                                safe,harmless     0.375     0.375      0.250
743           NaN   02061307                անվնաս                                safe,harmless     0.250     0.000      0.750
744           NaN   01159655                անվնաս                                safe,harmless     0.125     0.500      0.375
745           NaN   00103567               անվստահ                                    uncertain     0.375     0.375      0.250
746           NaN   00336168               անվստահ                                    uncertain     0.125     0.375      0.500
747           NaN   00341405               անվստահ                                    uncertain     0.000     0.500      0.500
748           NaN   00725522               անվստահ                                    uncertain     0.250     0.500      0.250
749           NaN   02093888               անվտանգ                         secure,safe,harmless     0.500     0.250      0.250
750           NaN   02095311               անվտանգ                         secure,safe,harmless     0.125     0.625      0.250
751           NaN   00066933               անվտանգ                         secure,safe,harmless     0.000     0.000      1.000
752           NaN   02057829               անվտանգ                         secure,safe,harmless     0.375     0.375      0.250
753           NaN   02061307               անվտանգ                         secure,safe,harmless     0.250     0.000      0.750
754           NaN   01159655               անվտանգ                         secure,safe,harmless     0.125     0.500      0.375
755           NaN   04436185           անտառանյութ                                       timber     0.000     0.000      1.000
756           NaN   04436329           անտառանյութ                                       timber     0.000     0.000      1.000
757           NaN   00546452              անտարբեր                                  indifferent     0.125     0.625      0.250
758           NaN   01724072              անտարբեր                                  indifferent     0.375     0.375      0.250
759           NaN   02340710              անտարբեր                                  indifferent     0.125     0.875      0.000
760           NaN   07505676       անտարբերություն                                 indifference     0.125     0.500      0.375
761           NaN   01880531                անտեղի                  improper,superfluous,vainly     0.000     0.625      0.375
762           NaN   00616153               անտեսել                     neglect,ignore,disregard     0.000     0.000      1.000
763           NaN   00595505               անտեսել                     neglect,ignore,disregard     0.250     0.125      0.625
764           NaN   02119241               անտեսել                     neglect,ignore,disregard     0.000     0.000      1.000
765           NaN   01639446                 անտիկ                                      antique     0.000     0.250      0.750
766           NaN   07292577               անցագիր                                      passing     0.000     0.000      1.000
767           NaN   00304592             անցաթուղթ                                         pass     0.000     0.000      1.000
768           NaN   15139552             անցաթուղթ                                         pass     0.000     0.000      1.000
769           NaN   00240810             անցկացնել                       pass,stretch,transport     0.000     0.000      1.000
770           NaN   00541746             անցկացնել                       pass,stretch,transport     0.000     0.000      1.000
771           NaN   01449591             անցկացնել                       pass,stretch,transport     0.000     0.000      1.000
772           NaN   01953810             անցկացնել                       pass,stretch,transport     0.000     0.000      1.000
773           NaN   00004296                անցյալ                                         last     0.000     0.000      1.000
774           NaN   01013279                անցյալ                                         last     0.000     0.000      1.000
775           NaN   01412912                անցյալ                                         last     0.375     0.500      0.125
776           NaN   01730329                անցյալ                                         last     0.000     0.250      0.750
777           NaN   01264667                անցյալ                                         last     0.000     0.000      1.000
778           NaN   13618180                անցյալ                                         last     0.000     0.000      1.000
779           NaN   13718178                անցյալ                                         last     0.000     0.000      1.000
780           NaN   13850148                անցյալ                                         last     0.000     0.000      1.000
781           NaN   00424691                անցնել                          exceed,expire,flash     0.000     0.000      1.000
782           NaN   00424869                անցնել                          exceed,expire,flash     0.000     0.000      1.000
783           NaN   00929509                անցնել                          exceed,expire,flash     0.000     0.000      1.000
784           NaN   01335461                անցնել                          exceed,expire,flash     0.000     0.000      1.000
785           NaN   02138611                անցնել                          exceed,expire,flash     0.000     0.000      1.000
786           NaN   00550546                անցնել                                   transition     0.000     0.000      1.000
787           NaN   00550823                անցնել                                   transition     0.000     0.000      1.000
788           NaN   01841079                անցնել                                       travel     0.000     0.000      1.000
789           NaN   06401328                   անց                       transition,pass,moving     0.000     0.000      1.000
790           NaN   07358576                   անց                       transition,pass,moving     0.000     0.000      1.000
791           NaN   00304592                   անց                       transition,pass,moving     0.000     0.000      1.000
792           NaN   15139552                   անց                       transition,pass,moving     0.000     0.000      1.000
793           NaN   02727016                  անցք                       aperture,pass,incident     0.000     0.000      1.000
794           NaN   02727141                  անցք                       aperture,pass,incident     0.000     0.000      1.000
795           NaN   09201031                  անցք                       aperture,pass,incident     0.000     0.000      1.000
796           NaN   00304592                  անցք                       aperture,pass,incident     0.000     0.000      1.000
797           NaN   15139552                  անցք                       aperture,pass,incident     0.000     0.000      1.000
798           NaN   07307477                  անցք                       aperture,pass,incident     0.000     0.000      1.000
799           NaN   13978033                  անցք                       aperture,pass,incident     0.000     0.250      0.750
800           NaN   05700925                 անուջ                                        dream     0.125     0.125      0.750
801           NaN   14459715                 անուջ                                        dream     0.250     0.000      0.750
802           NaN   00762355             անուղղակի                                     indirect     0.000     0.750      0.250
803           NaN   00766457             անուղղակի                                     indirect     0.250     0.500      0.250
804           NaN   00770993             անուղղակի                                     indirect     0.000     0.000      1.000
805           NaN   01854546             անուղղակի                                     indirect     0.000     0.625      0.375
806           NaN   00349759             անուղղելի           incurable,irreparable,incorrigible     0.250     0.500      0.250
807           NaN   00994567             անուղղելի           incurable,irreparable,incorrigible     0.500     0.000      0.500
808           NaN   01963792             անուղղելի           incurable,irreparable,incorrigible     0.000     0.500      0.500
809           NaN   00635456             անուղղելի           incurable,irreparable,incorrigible     0.000     0.500      0.500
810           NaN   01139636                 անուն                                         name     0.000     0.125      0.875
811           NaN   06333653                 անուն                                         name     0.000     0.000      1.000
812           NaN   14438788                 անուն                                         name     0.125     0.000      0.875
813           NaN   01808671                 անուշ                                        sweet     0.875     0.000      0.125
814           NaN   02367604                 անուշ                                        sweet     0.000     0.000      1.000
815           NaN   02368336                 անուշ                                        sweet     0.000     0.000      1.000
816           NaN   01052248           անուշաբույր                                     fragrant     0.750     0.125      0.125
817           NaN   00150055             անուշադիր                                     careless     0.250     0.375      0.375
818           NaN   00311663             անուշադիր                                     careless     0.000     0.500      0.500
819           NaN   05706228      անուշադիրություն                                  inattention     0.000     0.375      0.625
820           NaN   00355258          անփոխարինելի                      irreplaceable,unchanged     0.000     0.625      0.375
821           NaN   01637371                անփորձ                                inexperienced     0.000     0.625      0.375
822           NaN   00583239               անփոփոխ                           constant,permanent     0.750     0.125      0.125
823           NaN   01759527               անփոփոխ                           constant,permanent     0.000     0.625      0.375
824           NaN   00150055               անփույթ                  careless,negligent,careless     0.250     0.375      0.375
825           NaN   00311663               անփույթ                  careless,negligent,careless     0.000     0.500      0.500
826           NaN   00754873               անփույթ                  careless,negligent,careless     0.250     0.500      0.250
827           NaN   00150055               անփույթ                  careless,negligent,careless     0.250     0.375      0.375
828           NaN   00311663               անփույթ                  careless,negligent,careless     0.000     0.500      0.500
829           NaN   01755418             անքակտելի                                 indissoluble     0.000     0.000      1.000
830           NaN   00641640          անքաղաքավարի                                     impolite     0.500     0.125      0.375
831           NaN   14023374           անքնություն                                     insomnia     0.000     0.750      0.250
832           NaN   07233542                 անեւք                                    damnation     0.000     0.125      0.875
833           NaN   00726317             անօգնական                         defenceless,helpless     0.000     0.750      0.250
834           NaN   02497141             անօգտակար                                      useless     0.125     0.625      0.250
835           NaN   02497141               անօգուտ                               vainly,useless     0.125     0.625      0.250
836           NaN   01401854            անօրինական                                      illegal     0.000     0.000      1.000
837           NaN   05320183               աշակերտ                              pupil,schoolboy     0.000     0.000      1.000
838           NaN   10559192               աշակերտ                              pupil,schoolboy     0.000     0.000      1.000
839           NaN   10559603           աշակերտուհի                             schoolgirl,pupil     0.000     0.000      1.000
840           NaN   05320183           աշակերտուհի                             schoolgirl,pupil     0.000     0.000      1.000
841           NaN   04673006      աշխատասիրություն                                    diligence     0.250     0.000      0.750
842           NaN   02207449             աշխատավոր                                       worker     0.000     0.000      1.000
843           NaN   09632518             աշխատավոր                                       worker     0.000     0.000      1.000
844           NaN   00576717              աշխատանք                                     job,work     0.000     0.250      0.750
845           NaN   00576877              աշխատանք                                     job,work     0.000     0.000      1.000
846           NaN   00584769              աշխատանք                                     job,work     0.125     0.000      0.875
847           NaN   03599628              աշխատանք                                     job,work     0.000     0.000      1.000
848           NaN   03599761              աշխատանք                                     job,work     0.000     0.000      1.000
849           NaN   11085402              աշխատանք                                     job,work     0.000     0.000      1.000
850           NaN   00575741              աշխատանք                                     job,work     0.000     0.000      1.000
851           NaN   11453420              աշխատանք                                     job,work     0.000     0.000      1.000
852           NaN   01095899               աշխատել                            act,work,function     0.125     0.000      0.875
853           NaN   02419073               աշխատել                            act,work,function     0.125     0.000      0.875
854           NaN   02744977               աշխատել                            act,work,function     0.375     0.000      0.625
855           NaN   02373015               աշխատել                            act,work,function     0.000     0.000      1.000
856           NaN   02413480               աշխատել                            act,work,function     0.000     0.000      1.000
857           NaN   02594979               աշխատել                            act,work,function     0.000     0.000      1.000
858           NaN   05644527     աշխատունակություն                                   efficiency     0.125     0.000      0.875
859           NaN   13820993     աշխատունակություն                                   efficiency     0.000     0.000      1.000
860           NaN   08562067                աշխարհ                          country,earth,world     0.000     0.625      0.375
861           NaN   14844414                աշխարհ                          country,earth,world     0.000     0.000      1.000
862           NaN   09480809                աշխարհ                          country,earth,world     0.000     0.000      1.000
863           NaN   08696737            աշխարհամաս                                    continent     0.000     0.000      1.000
864           NaN   09254614            աշխարհամաս                                    continent     0.000     0.000      1.000
