      POS  HWN_Offset SWN_Offset                 Armenian                                       English  Positive  Negative  Objective
0       a         NaN   00011160                     ագահ                                greedy,glutton     0.000     0.000      1.000
828     a         NaN   00641640             անքաղաքավարի                                      impolite     0.500     0.125      0.375
829     n         NaN   14023374              անքնություն                                      insomnia     0.000     0.750      0.250
830     n         NaN   07233542                    անեւք                                     damnation     0.000     0.125      0.875
831     a         NaN   00726317                անօգնական                          defenceless,helpless     0.000     0.750      0.250
832     a         NaN   02497141                անօգտակար                                       useless     0.125     0.625      0.250
833     a         NaN   02497141                  անօգուտ                                vainly,useless     0.125     0.625      0.250
834     a         NaN   01401854               անօրինական                                       illegal     0.000     0.000      1.000
835     n         NaN   05320183                  աշակերտ                               pupil,schoolboy     0.000     0.000      1.000
836     n         NaN   10559192                  աշակերտ                               pupil,schoolboy     0.000     0.000      1.000
837     n         NaN   10559603              աշակերտուհի                              schoolgirl,pupil     0.000     0.000      1.000
838     n         NaN   05320183              աշակերտուհի                              schoolgirl,pupil     0.000     0.000      1.000
839     n         NaN   04673006         աշխատասիրություն                                     diligence     0.250     0.000      0.750
840     n         NaN   02207449                աշխատավոր                                        worker     0.000     0.000      1.000
841     n         NaN   09632518                աշխատավոր                                        worker     0.000     0.000      1.000
842     n         NaN   00576717                 աշխատանք                                      job,work     0.000     0.250      0.750
843     n         NaN   00576877                 աշխատանք                                      job,work     0.000     0.000      1.000
844     n         NaN   00584769                 աշխատանք                                      job,work     0.125     0.000      0.875
845     n         NaN   03599628                 աշխատանք                                      job,work     0.000     0.000      1.000
846     n         NaN   03599761                 աշխատանք                                      job,work     0.000     0.000      1.000
847     n         NaN   11085402                 աշխատանք                                      job,work     0.000     0.000      1.000
848     n         NaN   00575741                 աշխատանք                                      job,work     0.000     0.000      1.000
849     n         NaN   11453420                 աշխատանք                                      job,work     0.000     0.000      1.000
850     v         NaN   01095899                  աշխատել                             act,work,function     0.125     0.000      0.875
851     v         NaN   02419073                  աշխատել                             act,work,function     0.125     0.000      0.875
852     v         NaN   02744977                  աշխատել                             act,work,function     0.375     0.000      0.625
853     v         NaN   02373015                  աշխատել                             act,work,function     0.000     0.000      1.000
854     v         NaN   02413480                  աշխատել                             act,work,function     0.000     0.000      1.000
855     v         NaN   02594979                  աշխատել                             act,work,function     0.000     0.000      1.000
856     n         NaN   08562067                   աշխարհ                           country,earth,world     0.000     0.625      0.375
857     n         NaN   14844414                   աշխարհ                           country,earth,world     0.000     0.000      1.000
858     n         NaN   09480809                   աշխարհ                           country,earth,world     0.000     0.000      1.000
859     n         NaN   08696737               աշխարհամաս                                     continent     0.000     0.000      1.000
860     n         NaN   09254614               աշխարհամաս                                     continent     0.000     0.000      1.000
861     a         NaN   00035779                  աշխույժ                                         brisk     0.250     0.125      0.625
862     n         NaN   01096245                 աշհատանք                                      business     0.000     0.000      1.000
863     n         NaN   05833022                 աշհատանք                                      business     0.375     0.000      0.625
864     n         NaN   05983801                 աշհատանք                                      business     0.000     0.000      1.000
865     n         NaN   04460130                  աշտարակ                                  garret,tower     0.000     0.000      1.000
866     n         NaN   03308297                      աչք                                           eye     0.000     0.000      1.000
867     n         NaN   05614476                      աչք                                           eye     0.750     0.000      0.250
868     n         NaN   05703307                      աչք                                           eye     0.250     0.250      0.500
869     a         NaN   00035779                  աչքաբաց                                         brisk     0.250     0.125      0.625
870     n         NaN   00878328            աչքերը կկոցել                                        squint     0.000     0.000      1.000
871     n         NaN   08614104         աչքից բաց թողնել                                      overlook     0.500     0.000      0.500
872     r         NaN   00117903                      ապա                        then,future,afterwards     0.000     0.000      1.000
873     r         NaN   00118032                      ապա                        then,future,afterwards     0.000     0.000      1.000
874     a         NaN   01732270                    ապագա                                future,destiny     0.000     0.125      0.875
875     a         NaN   01884353                    ապագա                                future,destiny     0.250     0.000      0.750
876     a         NaN   02992914                    ապագա                                future,destiny     0.000     0.000      1.000
877     n         NaN   04701039               ապակի գցել                                         glaze     0.000     0.000      1.000
878     n         NaN   04955554               ապակի գցել                                         glaze     0.000     0.000      1.000
879     n         NaN   07621001               ապակի գցել                                         glaze     0.000     0.000      1.000
880     a         NaN   02093888                   ապահով             reliable,safely,secure,prosperous     0.500     0.250      0.250
881     a         NaN   02095311                   ապահով             reliable,safely,secure,prosperous     0.125     0.625      0.250
882     a         NaN   02093888           ապահով դարձնել                                        secure     0.500     0.250      0.250
883     a         NaN   02095311           ապահով դարձնել                                        secure     0.125     0.625      0.250
884     v         NaN   02251065              ապահովագրել                                        insure     0.000     0.000      1.000
885     n         NaN   13344804         ապահովագրություն                                     insurance     0.000     0.000      1.000
886     v         NaN   01128193                 ապահովել                         supply,ensure,protect     0.000     0.750      0.250
887     v         NaN   01129710                 ապահովել                         supply,ensure,protect     0.000     0.000      1.000
888     n         NaN   13366311            ապահովություն                                   maintenance     0.000     0.000      1.000
889     n         NaN   04191595                  ապաստան                                       shelter     0.000     0.000      1.000
890     n         NaN   04191943                  ապաստան                                       shelter     0.000     0.000      1.000
891     n         NaN   04192238                  ապաստան                                       shelter     0.000     0.375      0.625
892     n         NaN   04191595                ապաստարան                                refuge,shelter     0.000     0.000      1.000
893     n         NaN   04191943                ապաստարան                                refuge,shelter     0.000     0.000      1.000
894     n         NaN   04192238                ապաստարան                                refuge,shelter     0.000     0.375      0.625
895     v         NaN   00614829               ապավարժվել                                        forget     0.000     0.000      1.000
896     n         NaN   04848262                   ապավեն                                          hope     0.250     0.000      0.750
897     n         NaN   07511733                   ապավեն                                          hope     0.250     0.125      0.625
898     n         NaN   07541053                   ապավեն                                          hope     0.375     0.000      0.625
899     n         NaN   10184946                   ապավեն                                          hope     0.000     0.375      0.625
900     n         NaN   03877845                  ապարանք                                        palace     0.000     0.000      1.000
901     n         NaN   03878211                  ապարանք                                        palace     0.000     0.000      1.000
902     n         NaN   08053121                  ապարանք                                        palace     0.000     0.000      1.000
903     v         NaN   00665630                ապացուցել                                         prove     0.000     0.000      1.000
904     v         NaN   00665771                ապացուցել                                         prove     0.000     0.000      1.000
905     v         NaN   01745052                ապացուցել                                         prove     0.000     0.000      1.000
906     n         NaN   04011130                 ապացույց                               proof,testimony     0.000     0.000      1.000
907     n         NaN   06647614                 ապացույց                               proof,testimony     0.250     0.000      0.750
908     n         NaN   13780180                 ապացույց                               proof,testimony     0.000     0.000      1.000
909     n         NaN   06732710                 ապացույց                               proof,testimony     0.500     0.000      0.500
910     n         NaN   06734467                 ապացույց                               proof,testimony     0.000     0.000      1.000
911     a         NaN   00605406                   ապիկար                                       awkward     0.000     0.750      0.250
912     a         NaN   01140514                   ապիկար                                       awkward     0.500     0.125      0.375
913     a         NaN   02101580               ապշեցուցիչ                           sensational,amazing     1.000     0.000      0.000
914     v         NaN   00923622                 ապշեցնել                                        strike     0.000     0.000      1.000
915     v         NaN   01410223                 ապշեցնել                                        strike     0.000     0.000      1.000
916     v         NaN   02614387                    ապրել                             live,stay,inhabit     0.000     0.000      1.000
917     v         NaN   02614970                    ապրել                             live,stay,inhabit     0.250     0.000      0.750
918     v         NaN   02009200                    ապրել                             live,stay,inhabit     0.000     0.000      1.000
919     v         NaN   02560021                    ապրել                             live,stay,inhabit     0.000     0.000      1.000
920     v         NaN   02654416                    ապրել                             live,stay,inhabit     0.000     0.000      1.000
921     n         NaN   04079244               ապրելավայր                                     residence     0.000     0.000      1.000
922     n         NaN   07583197                    ապուր                                          soup     0.000     0.000      1.000
923     n         NaN   13927112                    ապուր                                          soup     0.000     0.375      0.625
924     n         NaN   15048623                    ապուր                                          soup     0.000     0.000      1.000
925     a         NaN   00439588                    ապուշ                                   stupid,fool     0.000     0.750      0.250
926     a         NaN   02030080                       աջ                                         right     0.000     0.000      1.000
927     a         NaN   02031986                       աջ                                         right     0.000     0.000      1.000
928     a         NaN   02034828                       աջ                                         right     0.500     0.250      0.250
929     a         NaN   02082081                       աջ                                         right     0.375     0.000      0.625
930     a         NaN   02030080               աջակողմյան                                         right     0.000     0.000      1.000
931     a         NaN   02031986               աջակողմյան                                         right     0.000     0.000      1.000
932     a         NaN   02034828               աջակողմյան                                         right     0.500     0.250      0.250
933     a         NaN   02082081               աջակողմյան                                         right     0.375     0.000      0.625
934     v         NaN   01080235                  աջակցել                                       promote     0.000     0.000      1.000
935     v         NaN   01080523                  աջակցել                                       promote     0.125     0.000      0.875
936     n         NaN   01212519             աջակցություն                            assistance,support     0.000     0.000      1.000
937     n         NaN   01215902             աջակցություն                            assistance,support     0.000     0.000      1.000
938     n         NaN   04360501             աջակցություն                            assistance,support     0.000     0.000      1.000
939     n         NaN   05693919             աջակցություն                            assistance,support     0.000     0.000      1.000
940     v         NaN   01720773                 աջակցում                                       support     0.000     0.000      1.000
941     v         NaN   02219094                 աջակցում                                       support     0.375     0.000      0.625
942     n         NaN   04128413                  առագաստ                                          sail     0.000     0.000      1.000
943     a         NaN   00843146                առաձգական                                       elastic     0.375     0.000      0.625
944     a         NaN   00356926            առանձնահատուկ             characteristic,indicative,special     0.000     0.000      1.000
945     a         NaN   01678729            առանձնահատուկ             characteristic,indicative,special     0.000     0.000      1.000
946     a         NaN   02278011            առանձնահատուկ             characteristic,indicative,special     0.125     0.000      0.875
947     n         NaN   03325769       առանձնահատկություն                                       feature     0.000     0.000      1.000
948     v         NaN   00496770              առանձնացնել                                       isolate     0.000     0.000      1.000
949     v         NaN   00655378              առանձնացնել                                       isolate     0.000     0.000      1.000
950     n         NaN   03107904                   առանցք                               core,axis,pivot     0.125     0.000      0.875
951     n         NaN   08524262                   առանցք                               core,axis,pivot     0.000     0.000      1.000
952     n         NaN   09256815                   առանցք                               core,axis,pivot     0.000     0.000      1.000
953     n         NaN   09256895                   առանցք                               core,axis,pivot     0.000     0.000      1.000
954     n         NaN   06008609                   առանցք                               core,axis,pivot     0.000     0.000      1.000
955     n         NaN   08171792                   առանցք                               core,axis,pivot     0.000     0.000      1.000
956     n         NaN   13128771                   առանցք                               core,axis,pivot     0.000     0.000      1.000
957     n         NaN   00342916                   առանցք                               core,axis,pivot     0.000     0.000      1.000
958     a         NaN   00037653                 առաջադեմ                                   progressive     0.000     0.250      0.750
959     a         NaN   01668011                 առաջադեմ                                   progressive     0.625     0.000      0.375
960     a         NaN   01876006                 առաջադեմ                                   progressive     0.625     0.000      0.375
961     a         NaN   01877617                 առաջադեմ                                   progressive     0.000     0.000      1.000
962     a         NaN   02536518                 առաջադեմ                                   progressive     0.000     0.000      1.000
963     v         NaN   00706557                առաջադրել                         offer,suggest,propose     0.125     0.000      0.875
964     v         NaN   02157361                առաջադրել                         offer,suggest,propose     0.000     0.000      1.000
965     v         NaN   02296726                առաջադրել                         offer,suggest,propose     0.000     0.000      1.000
966     v         NaN   02297409                առաջադրել                         offer,suggest,propose     0.000     0.000      1.000
967     n         NaN   01052853          առաջատարը լինել                     offer,suggest,propose,set     0.000     0.000      1.000
968     n         NaN   07996689          առաջատարը լինել                     offer,suggest,propose,set     0.125     0.000      0.875
969     n         NaN   07999699          առաջատարը լինել                     offer,suggest,propose,set     0.000     0.000      1.000
970     n         NaN   15256417          առաջատարը լինել                     offer,suggest,propose,set     0.000     0.000      1.000
971     n         NaN   07162194                  առաջարկ                           proposal,suggestion     0.000     0.000      1.000
972     n         NaN   05771679                  առաջարկ                           proposal,suggestion     0.000     0.000      1.000
973     n         NaN   05916155                  առաջարկ                           proposal,suggestion     0.000     0.000      1.000
974     v         NaN   00144850                առաջարկել                              form,excite,make     0.000     0.000      1.000
975     v         NaN   00558963                առաջարկել                              form,excite,make     0.000     0.000      1.000
976     v         NaN   01772960                առաջարկել                              form,excite,make     0.250     0.375      0.375
977     v         NaN   01646075                առաջարկել                              form,excite,make     0.000     0.000      1.000
978     n         NaN   13959069           առաջարկություն                                    occurrence     0.000     0.000      1.000
979     n         NaN   08218393                առաջընթաց                                         shift     0.000     0.000      1.000
980     a         NaN   00203237                    առաջի                                       forward     0.000     0.000      1.000
981     a         NaN   00203774                    առաջի                                       forward     0.000     0.000      1.000
982     a         NaN   00204491                    առաջի                                       forward     0.250     0.250      0.500
983     a         NaN   00184229                  առաջիկա                                   forthcoming     0.125     0.000      0.875
984     a         NaN   01010862                   առաջին                                         first     0.000     0.000      1.000
985     a         NaN   01016215                   առաջին                                         first     0.000     0.000      1.000
986     a         NaN   01013171               առաջնահերթ                                         prime     0.000     0.000      1.000
987     a         NaN   03012209               առաջնահերթ                                         prime     0.000     0.000      1.000
988     a         NaN   00699521                առաջնային                                       primary     0.000     0.500      0.500
989     a         NaN   01852174                առաջնային                                       primary     0.500     0.125      0.375
990     n         NaN   09623038                 առաջնորդ                                        leader     0.000     0.000      1.000
991     n         NaN   07457834             առաջնություն                                  championship     0.125     0.250      0.625
992     n         NaN   13846356                   առաջվա                                        former     0.000     0.000      1.000
993     n         NaN   02990373                  առաստաղ                                       ceiling     0.000     0.000      1.000
994     n         NaN   05132542                  առաստաղ                                       ceiling     0.000     0.000      1.000
995     n         NaN   05132667                  առաստաղ                                       ceiling     0.000     0.000      1.000
996     n         NaN   04889000            առավելություն              superiority,advantage,overweight     0.625     0.000      0.375
997     n         NaN   13610426            առավելություն              superiority,advantage,overweight     0.000     0.000      1.000
998     a         NaN   00015854                     առատ                      plentiful,it is a lot of     0.000     0.250      0.750
999     n         NaN   05116128              առատություն                      wealth,abundance,surplus     0.375     0.375      0.250
1000    n         NaN   13250398              առատություն                      wealth,abundance,surplus     0.000     0.000      1.000
1001    n         NaN   13820000              առատություն                      wealth,abundance,surplus     0.000     0.000      1.000
1002    n         NaN   13820239              առատություն                      wealth,abundance,surplus     0.000     0.000      1.000
1003    n         NaN   06309931                   առարկա                          subject,topic,object     0.000     0.000      1.000
1004    n         NaN   06310125                   առարկա                          subject,topic,object     0.000     0.000      1.000
1005    n         NaN   05810948                   առարկա                          subject,topic,object     0.125     0.250      0.625
1006    n         NaN   06132724                   առարկա                          subject,topic,object     0.000     0.000      1.000
1007    n         NaN   06310237                   առարկա                          subject,topic,object     0.000     0.000      1.000
1008    a         NaN   00013442              առարկայական                                     objective     0.000     0.000      1.000
1009    v         NaN   00807461                  առարկել                                 object,retort     0.000     0.000      1.000
1010    v         NaN   02753865                  առարկել                                 object,retort     0.000     0.125      0.875
1011    n         NaN   01025678             առարկություն                                     objection     0.000     0.250      0.750
1012    n         NaN   07208338             առարկություն                                     objection     0.000     0.000      1.000
1013    n         NaN   09179264                     առիթ                  occasion,preposition,pretext     0.125     0.000      0.875
1014    n         NaN   14485064                     առիթ                  occasion,preposition,pretext     0.125     0.000      0.875
1015    n         NaN   15245829                     առիթ                  occasion,preposition,pretext     0.125     0.000      0.875
1016    n         NaN   06325145                     առիթ                  occasion,preposition,pretext     0.000     0.000      1.000
1017    n         NaN   06483992                     առիթ                  occasion,preposition,pretext     0.000     0.000      1.000
1018    a         NaN   00183053                     առկա                            available,nowadays     0.375     0.000      0.625
1019    n         NaN   14013751                 առկախում                                    moratorium     0.000     0.000      1.000
1020    n         NaN   15275466                 առկախում                                    moratorium     0.375     0.000      0.625
1021    n         NaN   00651670               առճակատում                                 confrontation     0.000     0.000      1.000
1022    n         NaN   07181713               առճակատում                                 confrontation     0.000     0.250      0.750
1023    n         NaN   07231728               առճակատում                                 confrontation     0.125     0.375      0.500
1024    v         NaN   01842690                    առնել                            take,purchase,bear     0.000     0.000      1.000
1025    v         NaN   02205272                    առնել                            take,purchase,bear     0.000     0.000      1.000
1026    v         NaN   02599636                    առնել                            take,purchase,bear     0.000     0.000      1.000
1027    v         NaN   01432601                    առնել                            take,purchase,bear     0.000     0.000      1.000
1028    v         NaN   02630871                    առնել                            take,purchase,bear     0.125     0.000      0.875
1029    v         NaN   00172732                   առնել                  take away,carry away,withdraw     0.000     0.000      1.000
1030    a         NaN   02073443              առողջ դատող                                          sane     0.750     0.000      0.250
1031    n         NaN   14495080         առողջագիտություն                                       hygiene     0.625     0.000      0.375
1032    v         NaN   01336541                առողջանալ                            begin live,recover     0.000     0.000      1.000
1033    n         NaN   01250101               առողջացում                                     amendment     0.000     0.125      0.875
1034    n         NaN   06723635               առողջացում                                     amendment     0.000     0.000      1.000
1035    n         NaN   13923779             առողջություն                                        health     0.000     0.000      1.000
1036    a         NaN   00489108                   առորյա                                         usual     0.125     0.000      0.875
1037    a         NaN   00203237                   առջեւի                                       forward     0.000     0.000      1.000
1038    a         NaN   00203774                   առջեւի                                       forward     0.000     0.000      1.000
1039    a         NaN   00204491                   առջեւի                                       forward     0.250     0.250      0.500
1040    n         NaN   03214253                     առու                                   ditch,brook     0.000     0.000      1.000
1041    n         NaN   09267758                     առու                                   ditch,brook     0.000     0.000      1.000
1042    a         NaN   00875422                   առույգ                                      vigorous     0.500     0.000      0.500
1043    a         NaN   02039845                   առույգ                                      vigorous     0.500     0.000      0.500
1044    v         NaN   01111458                առեւանգել                                         steal     0.000     0.000      1.000
1045    v         NaN   02321757                առեւանգել                                         steal     0.000     0.500      0.500
1046    n         NaN   07137622                 առեւտուր                                commerce,trade     0.000     0.000      1.000
1047    n         NaN   01091905                 առեւտուր                                commerce,trade     0.000     0.000      1.000
1048    n         NaN   01091905            առեւտուր անել                                         trade     0.000     0.000      1.000
1049    v         NaN   00720961                     ասել                                          tell     0.375     0.375      0.250
1050    v         NaN   00952524                     ասել                                          tell     0.000     0.000      1.000
1051    n         NaN   00787307           ասպատակություն                                         foray     0.375     0.000      0.625
1052    n         NaN   08497107                  ասպարեզ                                         arena     0.000     0.000      1.000
1053    a         NaN   01369663       ասպետական մենամարտ                                    joust,just     0.625     0.000      0.375
1054    n         NaN   00827240                    աստառ                                        lining     0.000     0.000      1.000
1055    n         NaN   05094565                  աստիճան                      degree,ladder,rank,stair     0.000     0.250      0.750
1056    n         NaN   05861317                  աստիճան                      degree,ladder,rank,stair     0.000     0.000      1.000
1057    n         NaN   13714184                  աստիճան                      degree,ladder,rank,stair     0.000     0.000      1.000
1058    n         NaN   03632277                  աստիճան                      degree,ladder,rank,stair     0.000     0.000      1.000
1059    n         NaN   13940311                  աստիճան                      degree,ladder,rank,stair     0.000     0.000      1.000
1060    n         NaN   08431942                  աստիճան                      degree,ladder,rank,stair     0.000     0.000      1.000
1061    n         NaN   14429985                  աստիճան                      degree,ladder,rank,stair     0.000     0.125      0.875
1062    n         NaN   10133307                   աստված                                           god     0.125     0.000      0.875
1063    v         NaN   01778990              աստվածացնել                                 worship,deify     0.125     0.000      0.875
1064    v         NaN   02613275              աստվածացնել                                 worship,deify     0.000     0.000      1.000
1065    v         NaN   00545140              աստվածացնել                                 worship,deify     0.125     0.000      0.875
1066    v         NaN   00693401              աստվածացնել                                 worship,deify     0.000     0.000      1.000
1067    n         NaN   09535622               աստվածուհի                                       goddess     0.000     0.000      1.000
1068    n         NaN   09444100                     աստղ                                          star     0.000     0.000      1.000
1069    n         NaN   09444783                     աստղ                                          star     0.000     0.000      1.000
1070    n         NaN   13881644                     աստղ                                          star     0.000     0.000      1.000
1071    n         NaN   03839671             աստղադիտարան                                   observatory     0.000     0.000      1.000
1072    n         NaN   05446006               աստղածաղիկ                                         aster     0.000     0.000      1.000
1073    n         NaN   11931918               աստղածաղիկ                                         aster     0.000     0.000      1.000
1074    n         NaN   14769465                   ասֆալտ                                       asphalt     0.000     0.000      1.000
1075    a         NaN   02099774                     ավագ                        old age,foreman,senior     0.375     0.000      0.625
1076    n         NaN   10579062                 ավագները                                        senior     0.000     0.000      1.000
1077    n         NaN   15019030                     ավազ                                          sand     0.000     0.000      1.000
1078    n         NaN   09880741                   ավազակ                                       burglar     0.000     0.000      1.000
1079    n         NaN   07177924                     ավան                                    settlement     0.000     0.375      0.625
1080    n         NaN   08672562                     ավան                                    settlement     0.000     0.000      1.000
1081    n         NaN   06881360                   ավանակ                                    donkey,ass     0.000     0.000      1.000
1082    n         NaN   02389346                   ավանակ                                    donkey,ass     0.000     0.000      1.000
1083    n         NaN   09813632                   ավանակ                                    donkey,ass     0.250     0.250      0.500
1084    a         NaN   00611047                ավանդական                                   traditional     0.000     0.000      1.000
1085    a         NaN   01690767                ավանդական                                   traditional     0.000     0.000      1.000
1086    n         NaN   10216106                ավանդատու                                      investor     0.000     0.000      1.000
1087    v         NaN   00273734                  ավանդել                                         teach     0.000     0.000      1.000
1088    n         NaN   05809745                ավանդույթ                                     tradition     0.000     0.000      1.000
1089    n         NaN   08663156                    ավարտ                    close,tip,final,ending,end     0.000     0.000      1.000
1090    n         NaN   07466832                    ավարտ                    close,tip,final,ending,end     0.000     0.000      1.000
1091    n         NaN   05868477                    ավարտ                    close,tip,final,ending,end     0.000     0.000      1.000
1092    n         NaN   08565894                    ավարտ                    close,tip,final,ending,end     0.000     0.000      1.000
1093    n         NaN   08566707                    ավարտ                    close,tip,final,ending,end     0.000     0.000      1.000
1094    n         NaN   10056398                    ավարտ                    close,tip,final,ending,end     0.000     0.000      1.000
1095    v         NaN   00351963                  ավարտել                                    finish,end     0.000     0.000      1.000
1096    v         NaN   01265989                  ավարտել                                    finish,end     0.000     0.000      1.000
1097    v         NaN   01620854                  ավարտել                                    finish,end     0.000     0.000      1.000
1098    n         NaN   07466832                   ավարտի                                         final     0.000     0.000      1.000
1099    v         NaN   00182406                ավելացնել                             add,increase,lift     0.000     0.000      1.000
1100    v         NaN   02745172                ավելացնել                             add,increase,lift     0.000     0.000      1.000
1101    v         NaN   00153263                ավելացնել                             add,increase,lift     0.000     0.000      1.000
1102    v         NaN   00156601                ավելացնել                             add,increase,lift     0.000     0.000      1.000
1103    v         NaN   00986074                ավելացնել                             add,increase,lift     0.000     0.000      1.000
1104    v         NaN   01579153                ավելացնել                             add,increase,lift     0.000     0.000      1.000
1105    r         NaN   00099712                    ավելի              more,more than,superfluous,razor     0.000     0.000      1.000
1106    r         NaN   00392690              ավելի երկար                                        longer     0.000     0.000      1.000
1107    r         NaN   00059607                ավելի լավ                                        better     0.875     0.000      0.125
1108    r         NaN   00030443              ավելի հեռու                           further,sub scarlet     0.000     0.000      1.000
1109    r         NaN   00225971               ավելի փոքր                                         small     0.000     0.000      1.000
1110    r         NaN   00079866               ավելի ցածր                                         below     0.000     0.000      1.000
1111    r         NaN   00099868                ավելի քիչ                                          less     0.125     0.000      0.875
1112    a         NaN   00734318                     ավեր                   destroyed,ruined,devastated     0.000     0.625      0.375
1113    v         NaN   00260311                  ավերել                         devastate,ruin,destroy     0.125     0.000      0.875
1114    v         NaN   00578993                  ավերել                         devastate,ruin,destroy     0.000     0.375      0.625
1115    v         NaN   01566490                  ավերել                         devastate,ruin,destroy     0.000     0.000      1.000
1116    v         NaN   02558951                  ավերել                         devastate,ruin,destroy     0.000     0.000      1.000
1117    n         NaN   03416489                 ավտոտնակ                                        garage     0.000     0.000      1.000
1118    n         NaN   09896685               ատաղձագործ                              carpenter,joiner     0.000     0.000      1.000
1119    n         NaN   10223869               ատաղձագործ                              carpenter,joiner     0.000     0.000      1.000
1120    n         NaN   10223994               ատաղձագործ                              carpenter,joiner     0.000     0.000      1.000
1121    n         NaN   00179576                     ատամ                                         tooth     0.000     0.000      1.000
1122    n         NaN   02155872                     ատամ                                         tooth     0.000     0.000      1.000
1123    n         NaN   04452848                     ատամ                                         tooth     0.125     0.000      0.875
1124    n         NaN   04453037                     ատամ                                         tooth     0.000     0.000      1.000
1125    n         NaN   05282746                     ատամ                                         tooth     0.000     0.000      1.000
1126    n         NaN   02076196               ատամնալիցք                                          seal     0.000     0.000      1.000
1127    n         NaN   04159354               ատամնալիցք                                          seal     0.000     0.000      1.000
1128    n         NaN   04159545               ատամնալիցք                                          seal     0.000     0.000      1.000
1129    n         NaN   06855985               ատամնալիցք                                          seal     0.000     0.000      1.000
1130    n         NaN   04453390              ատամնափորիչ                                     toothpick     0.000     0.000      1.000
1131    n         NaN   08672397                    ատյան                                          ward     0.000     0.000      1.000
1132    n         NaN   10767020                    ատյան                                          ward     0.000     0.000      1.000
1133    n         NaN   14619225                     ատոմ                                          atom     0.000     0.000      1.000
1134    r         NaN   00086000                     արագ                      fast,quickly,rapid,swift     0.000     0.000      1.000
1135    n         NaN   05060783                արագացում                                  acceleration     0.000     0.000      1.000
1136    n         NaN   15275851                արագացում                                  acceleration     0.000     0.000      1.000
1137    a         NaN   00976508                արագաշարժ                                          fast     0.000     0.000      1.000
1138    a         NaN   00981818                արագաշարժ                                          fast     0.000     0.000      1.000
1139    a         NaN   00983573                արագաշարժ                                          fast     0.000     0.000      1.000
1140    a         NaN   01774091                արագաշարժ                                          fast     0.125     0.000      0.875
